Amino_acid,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos6A,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos12A,Pos12B,Pos12C,Pos12D,Pos12E,Pos12F,Pos12G,Pos12H,Pos13,Pos13A,Pos13B,Pos13C,Pos13D,Pos13E,Pos13F,Pos13G,Pos13H,Pos14,Pos14A,Pos14B,Pos14C,Pos14D,Pos14E,Pos14F,Pos14G,Pos14H,Pos15,Pos15A,Pos15B,Pos15C,Pos15D,Pos15E,Pos15F,Pos15G,Pos15H,Pos15I,Pos16,Pos16A,Pos17,Pos18,Pos19,Pos19A,Pos20,Pos21,Pos22,Pos22A,Pos22B,Pos22C,Pos22D,Pos22E,Pos22F,Pos23,Pos24,Pos25,Pos26,Pos27,Pos28,Pos29,Pos30,Pos31,Pos32,Pos33,Pos34,Pos35,Pos35A,Pos35B,Pos35C,Pos35D,Pos35E,Pos35F,Pos35G,Pos35H,Pos35I,Pos35J,Pos35K,Pos36,Pos37,Pos37A,Pos38,Pos38A,Pos39,Pos39A,Pos39B,Pos39C,Pos40,Pos40A,Pos41,Pos41A,Pos42,Pos42A,Pos42B,Pos43,Pos43A,Pos43B,Pos43C,Pos44,Pos44A,Pos44B,Pos45,Pos45A,Pos45B,Pos45C,Pos45D,Pos46,Pos46A,Pos46B,Pos46C,Pos46D,Pos46E,Pos47,Pos47A,Pos47B,Pos47C,Pos47D,Pos48,Pos49,Pos50,Pos51,Pos52,Pos52A,Pos52B,Pos52C,Pos52D,Pos52E,Pos52F,Pos52G,Pos52H,Pos52I,Pos52J,Pos53,Pos54,Pos55,Pos56,Pos57,Pos58,Pos59,Pos59A,Pos59B,Pos59C,Pos59D,Pos60,Pos60A,Pos61,Pos61A,Pos61B,Pos61C,Pos61D,Pos62,Pos62A,Pos63,Pos64,Pos64A,Pos64B,Pos65,Pos66,Pos67,Pos68,Pos69,Pos69A,Pos69B,Pos69C,Pos70,Pos70A,Pos70B,Pos70C,Pos70D,Pos70E,Pos70F,Pos71,Pos71A,Pos71B,Pos71C,Pos71D,Pos72,Pos72A,Pos73,Pos73A,Pos73B,Pos73C,Pos73D,Pos73E,Pos74,Pos74A,Pos74B,Pos74C,Pos75,Pos75A,Pos75B,Pos75C,Pos76,Pos76A,Pos76B,Pos76C,Pos76D,Pos77,Pos77A,Pos77B,Pos78,Pos78A,Pos78B,Pos79,Pos79A,Pos79B,Pos80,Pos81,Pos82,Pos82A,Pos82B,Pos82C,Pos82D,Pos82E,Pos83,Pos83A,Pos84,Pos85,Pos86,Pos87,Pos88,Pos89,Pos90,Pos91,Pos92,Pos93,Pos94,Pos95,Pos96,Pos97,Pos98,Pos99,Pos100,Pos100A,Pos100B,Pos100C,Pos100D,Pos100E,Pos100F,Pos100G,Pos100H,Pos100I,Pos100J,Pos100K,Pos100L,Pos100M,Pos100N,Pos100O,Pos100P,Pos100Q,Pos100R,Pos100S,Pos100T,Pos100U,Pos100V,Pos100W,Pos100X,Pos101,Pos102,Pos103,Pos104,Pos104A,Pos104B,Pos104C,Pos105,Pos105A,Pos105B,Pos105C,Pos105D,Pos105E,Pos105F,Pos106,Pos107,Pos107A,Pos107B,Pos107C,Pos108,Pos109,Pos110,Pos111,Pos112,Pos113
-,134,24,21,12,12,7,1179,3,3,3,6,1,1,1184,1184,1184,1184,1184,1184,1184,1184,1,1184,1184,1184,1184,1184,1184,1184,1184,1,1184,1184,1184,1184,1184,1184,1184,1184,1,1184,1184,1184,1184,1184,1184,1184,1184,1184,1,1184,0,1,1,1184,0,0,0,1184,1184,1184,1184,1184,1184,0,0,0,0,0,0,0,0,0,0,10,11,25,1132,1141,1159,1159,1183,1183,1183,1184,1184,1184,1184,0,0,1184,0,1184,0,1184,1184,1184,0,1184,0,1184,2,1182,1184,0,1184,1184,1184,2,1181,1183,0,1181,1181,1181,1181,0,1184,1184,1184,1184,1184,0,1184,1184,1184,1184,0,0,0,0,3,181,1155,1163,1175,1180,1181,1184,1184,1184,1184,0,0,0,0,0,0,0,1184,1184,1184,1184,0,1184,0,1184,1184,1184,1184,0,1184,0,0,1184,1184,0,0,0,0,0,1184,1184,1184,0,1184,1184,1184,1184,1184,1184,0,1184,1184,1184,1184,1,1184,1,1184,1184,1184,1184,1184,1,1183,1183,1184,1,1184,1184,1184,2,1184,1184,1184,1184,0,1184,1184,0,1184,1184,0,1184,1184,0,0,0,0,0,0,1183,1183,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,871,1012,1045,1143,1156,1174,1179,1179,1182,1183,1183,0,0,0,0,1184,1184,1184,0,1184,1184,1184,1184,1184,1184,0,0,1184,1184,1184,0,0,1,8,14,25
A,22,0,0,0,10,15,0,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,0,0,0,0,0,0,932,873,4,6,5,28,18,12,14,16,684,11,161,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919,0,5,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,3,726,541,0,12,25,3,1,0,0,3,0,0,0,0,16,43,49,176,30,36,2,0,0,0,0,926,0,4,0,0,0,0,64,0,18,0,0,0,5,0,1,24,1,0,0,0,7,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,858,0,0,0,2,0,0,0,2,0,0,0,0,20,0,0,63,0,0,4,0,0,0,2,0,0,21,0,0,0,2,0,57,1,0,24,1156,6,0,0,0,1125,825,137,30,162,70,61,232,86,44,32,222,67,20,74,196,65,49,57,37,22,2,15,6,2,1,1,0,0,0,0,0,41,83,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,1,3
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,96,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,272,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,0,0,2,6,10,7,21,59,35,26,23,89,32,36,27,16,10,21,11,4,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,60,7,0,0,0,13,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,48,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,22,9,13,379,242,14,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,15,0,0,0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,8,4,51,57,2,3,3,0,0,0,0,0,0,26,349,63,7,0,65,0,0,0,0,0,1,0,1056,0,0,0,0,1,0,0,0,0,0,14,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,0,50,0,0,0,0,0,48,0,0,0,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,50,16,0,0,0,2,0,2,32,1182,0,1,8,0,1,0,0,5,299,83,37,22,20,50,22,47,49,43,31,26,30,53,34,74,88,61,25,6,5,5,8,1,0,0,0,0,0,0,730,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
E,464,1,0,0,17,1130,0,0,2,0,0,31,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,8,37,0,3,2,23,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,6,0,0,11,0,0,0,1067,0,1,0,0,3,0,0,1132,0,0,0,0,0,2,0,0,0,0,0,0,1,0,6,4,0,0,0,0,0,0,0,0,0,6,46,7,2,2,3,0,0,0,0,0,11,0,87,0,0,0,0,0,0,0,127,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,3,1,0,0,36,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,0,5,1,0,0,0,34,0,0,1122,2,0,0,9,0,0,0,0,1,46,38,49,15,12,19,15,25,15,120,19,6,172,36,87,40,172,85,33,22,14,8,2,0,0,0,0,0,0,0,96,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,1,0,0,0,0,0,0,0,0,2,10,2,344,12,519,3,13,28,16,3,1,9,0,0,0,0,0,0,0,0,0,0,1,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,7,0,7,20,0,3,0,1,0,0,0,0,0,0,0,3,3,7,6,0,32,15,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1171,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,58,0,0,1,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,3,15,0,0,0,5,229,36,28,19,27,19,64,30,11,56,66,13,9,8,8,13,71,21,32,15,2,1,2,3,0,0,0,0,0,2,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
G,0,0,0,0,0,0,0,6,1179,1177,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,1106,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,3,1097,38,18,17,72,32,23,29,20,915,7,4,1,24,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,1163,2,0,0,0,0,0,54,0,0,1,0,0,0,3,1,0,0,0,0,0,496,0,0,0,0,0,25,57,0,22,22,2,3,0,0,0,0,0,0,0,102,401,826,28,7,42,0,0,0,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0,1147,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,0,12,0,0,0,0,0,124,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,13,0,0,19,2,0,0,1,10,159,94,83,77,291,87,133,94,102,177,78,133,81,91,134,68,121,83,82,68,45,56,1,2,0,0,3,2,0,0,0,84,1,3,1180,0,0,0,0,0,0,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,10
H,7,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,4,2,0,45,16,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,13,1,1,0,0,0,0,0,0,0,0,1,2,14,11,0,80,7,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,13,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,1,18,16,18,27,19,9,4,15,11,14,9,163,26,46,18,23,5,18,1,5,1,3,0,1,0,0,0,0,1,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,9,1,0,23,27,44,2,24,16,14,327,23,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,62,1,20,1032,2,27,0,0,1,0,0,0,0,0,0,11,6,5,47,19,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,21,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,12,1,2,0,0,0,5,0,1,0,0,0,0,72,0,2,0,1,6,17,15,24,39,37,16,41,18,77,17,22,15,34,32,50,18,7,9,0,5,0,5,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,8,0,0
K,3,0,35,0,0,3,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,22,0,0,5,1,0,0,2,16,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,1,1,4,5,0,0,0,0,0,0,0,0,0,7,0,1,21,6,7,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,1051,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,881,0,0,1,0,0,0,0,0,0,0,2,6,13,23,25,8,62,8,2,7,5,9,9,13,8,28,46,48,8,12,2,0,1,1,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,37,0
